Association Number	Clusters First Dataset	Cluster Similarity Score	Explained Variance by the first representative of the cluster	Clusters Second Dataset	Cluster Similarity Score	Explained Variance by the first representative of the cluster	p-value	q-value	Similarity score between Clusters
1	X14	1.0	1.0	Y14	1.0	1.0	0.0	0.0	0.46287223079886258
2	X9	1.0	1.0	Y9	1.0	1.0	0.0	0.0	0.41208847115578318
3	X13	1.0	1.0	Y15;Y12;Y13	0.3325089748092358	1.0	6.1335883729032789e-10	2.4534353491613115e-08	0.44634509564113983
4	X15	1.0	1.0	Y15	1.0	1.0	3.5034228246759657e-06	0.00010930679212989014	0.45357294656036612
5	X1	1.0	1.0	Y0	1.0	1.0	1.1743207447496841e-05	0.00042946587236559873	0.37399345021381863
6	X14	1.0	1.0	Y15	1.0	1.0	0.00010635966387784459	0.0027653512608239593	0.39964126823376894
7	X5	1.0	1.0	Y9	1.0	1.0	0.00016629878245875634	0.0047302764788268474	0.37921280221660658
8	X12	1.0	1.0	Y12	1.0	1.0	0.00032700585894601984	0.0083713499890181071	0.39712089292050945
9	X4;X5	0.37468392798690875	1.0	Y4;Y5	0.44496414009495966	1.0	0.00079818986374663187	0.017788231249210654	0.37921280221660658
10	X0	1.0	1.0	Y0	1.0	1.0	0.0010087580410969995	0.017216137234722127	0.37399345021381869
11	X7	1.0	1.0	Y9	1.0	1.0	0.0011943621493792822	0.019109794390068515	0.36877409821103074
