#OTU ID	SRS011584.SRX020666	SRS053420.SRX020514	SRS022012.SRX019635	SRS018531.SRX019639	SRS022012.SRX019636	SRS016732.SRX019682	SRS016693.SRX019691	SRS016732.SRX020217	SRS015263.SRX020535	SRS015348.SRX020535	SRS055956.SRX020535	SRS016111.SRX020522	SRS018547.SRX020522	SRS011450.SRX020660	SRS011651.SRX020666	SRS011450.SRX020668	SRS014343.SRX020555	SRS014550.SRX020555	SRS051921.SRX020531	SRS044742.SRX020665	SRS053598.SRX020665	SRS063153.SRX020528	SRS063992.SRX020579	SRS050220.SRX020518	SRS056207.SRX020518	SRS049396.SRX020518	SRS023089.SRX020680	SRS021643.SRX020679	SRS049491.SRX020681	SRS013585.SRX020681	SRS022522.SRX020680	SRS050329.SRX020684	SRS043875.SRX020685	SRS058714.SRX020685	SRS051220.SRX020687	SRS064406.SRX020689	SRS063221.SRX020689	SRS019245.SRX020522	SRS011651.SRX020669	SRS043799.SRX021470	SRS051012.SRX021470	SRS047943.SRX022222	SRS046109.SRX022222	SRS023713.SRX022223	SRS023149.SRX022226	SRS022588.SRX022226	SRS043922.SRX022227	SRS021151.SRX022230	SRS021107.SRX022230	SRS052843.SRX022242	SRS021406.SRX022239	700014778.V35.241810	SRS021832.SRX022231	SRS065604.SRX022237	700016100.V35.241702	700015578.V35.241712	700033500.V35.241795	700014777.V35.241810	SRS063210.SRX020579	SRS051384.SRX020514	700015493.V35.241665	700015492.V35.241665	700015766.V35.241804	700015177.V35.241755	SRS011527.SRX020660	SRS023647.SRX019635	SRS023647.SRX019636	SRS017497.SRX019687	SRS023467.SRX022223	SRS050959.SRX022227	SRS053478.SRX020560	SRS015015.SRX020535	SRS063793.SRX020556	SRS045170.SRX020514	SRS044456.SRX020690	SRS056363.SRX020533	SRS022711.SRX022226	SRS024433.SRX019635	SRS024433.SRX019636	SRS017563.SRX019636	SRS017563.SRX019635	SRS017743.SRX019687	SRS020392.SRX019691	SRS015206.SRX020558	SRS016219.SRX020522	SRS011686.SRX020669	SRS014448.SRX020551	SRS015149.SRX020555	SRS065347.SRX020528	SRS015425.SRX020555	SRS023893.SRX020681	SRS023893.SRX020683	SRS048690.SRX020687	SRS062923.SRX020689	SRS055981.SRX020533	SRS046608.SRX022036	SRS054341.SRX022227	SRS021766.SRX022231	700015244.V35.241719	SRS022267.SRX022231	700015243.V35.241719	SRS011619.SRX020669	SRS049372.SRX020533	SRS022900.SRX022223	SRS022777.SRX022226	700015178.V35.241755	700033194.V35.241783	700033790.V35.241764	SRS014782.SRX020558	SRS020032.SRX019635	SRS022456.SRX020680	SRS020032.SRX019636	SRS055785.SRX020533	SRS011619.SRX020666	SRS056878.SRX020665	SRS063417.SRX020665	SRS019844.SRX020576	SRS014448.SRX020560	SRS044902.SRX020573	SRS015508.SRX020573	SRS018769.SRX020522	SRS053478.SRX020551	SRS058650.SRX020514	SRS063059.SRX020579	SRS064439.SRX020528	SRS045850.SRX020518	SRS015740.SRX020573	SRS022966.SRX020679	SRS056161.SRX020684	SRS014839.SRX020555	SRS021283.SRX022235	SRS021217.SRX022239	SRS022201.SRX022231	SRS064122.SRX020688	SRS063444.SRX020689	SRS063535.SRX022237	700015767.V35.241804	SRS016559.SRX019635	SRS016559.SRX019636	SRS024073.SRX019681	SRS018292.SRX019687	SRS022135.SRX019690	SRS024310.SRX019696	SRS024310.SRX019692	SRS015615.SRX020573	SRS011527.SRX020668	SRS014629.SRX020555	SRS055825.SRX020665	SRS065592.SRX020528	SRS023221.SRX020679	SRS023221.SRX020683	SRS045807.SRX020684	SRS042246.SRX020686	SRS044456.SRX020686	SRS065365.SRX020689	SRS011584.SRX020669	SRS023344.SRX022223	SRS057075.SRX022222	700015579.V35.241712	SRS022333.SRX022231	700016505.V35.241673	700033043.V35.241834	SRS043338.SRX022227	SRS062652.SRX022237	SRS011686.SRX020666	SRS016627.SRX019686	SRS044898.SRX022227
K00001	381	209	15	113	15	3	8	0	167	242	167	252	1	50	101	70	77	563	279	183	59	83	108	74	39	85	2	463	18	445	352	277	97	294	80	52	28	102	107	349	14	64	113	60	96	117	29	142	69	42	84	347	55	53	102	120	317	678	189	525	442	314	241	140	55	496	425	74	893	84	66	68	339	190	678	917	36	81	73	16	25	18	170	93	117	58	98	539	67	283	141	140	223	3302	96	95	12	73	975	112	1125	29	10	75	5	51	50	31	63	35	1054	30	70	21	659	1216	674	100	186	71	59	86	106	184	79	92	41	184	53	178	77	47	115	929	389	173	1140	13	10	329	7	492	24	28	36	97	1045	80	42	428	458	44	28	98	21	477	754	83	26	93	97	584	197	127	57	4	10
K00002	1	0	0	0	0	0	0	0	48	36	8	85	1	2	1	3	1	15	0	5	2	1	8	1	10	0	1	0	2	3	0	1	0	0	2	0	0	22	1	6	0	0	3	1	7	1	0	0	0	0	0	2	1	0	1	0	3	2	3	1	0	2	0	3	12	15	13	0	635	0	0	16	69	12	1	7	1	2	2	1	1	0	42	2	19	4	0	160	0	43	8	11	18	1	1	0	1	0	0	0	1	1	1	1	1	0	0	1	0	2	0	1	11	0	8	53	8	2	1	9	8	1	1	1	2	6	11	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	7	15	12	9	2	0	0	0	0	0	1	0	0	0	0	1	2	2	0	0	6	0	1
K00003	11	1789	926	3	813	1	0	0	44	32	11	88	2	675	126	1161	37	21	27	831	28	1331	336	1020	14	1834	4	679	8	587	103	439	294	564	1449	28	820	49	149	213	3	29	553	1536	33	4	169	9	1215	4	277	369	90	0	600	558	506	777	1040	10776	1349	260	39	111	636	491	426	145	885	145	1303	33	250	4962	3845	2092	845	84	73	553	629	815	807	1687	1259	29	1266	1401	1479	1519	127	167	2209	1660	45	549	17	877	63	847	170	302	8	107	3	47	971	23	1062	844	444	765	1347	232	1286	127	17	1494	2175	1731	1388	1284	7635	1074	1783	1591	1028	1005	937	1547	665	1089	884	110	34	12	364	841	729	59	725	2	960	876	857	1077	20	1288	1527	28	16	1472	1011	529	789	17	5	857	1276	977	595	4	707	455	23	2	5
K00004	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	11	0	1	0	0	0	0	0	0	0	22	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
K00005	0	3	0	0	0	0	0	0	0	3	2	0	1	9	3	20	0	3	0	9	1	1	140	1	0	4	1	152	3	764	3	147	1	1455	6	1	2	12	1	63	0	2	1	2	0	1	2	1	1	12	1	476	674	0	19	0	9	702	27	29	17	11	16	100	18	639	618	524	148	1763	1	6	14	5	3	43	4	1	1	1	1	1	1	7	4	8	0	4	1	0	31	62	5	4	2	2	10	11	31	1	57	0	3	76	2	36	1	11	22	1	34	3	3	0	57	1	1	3	2737	0	1	1	2	4	2	0	0	0	0	1	0	0	0	7	2	1	54	0	0	3	1	0	1	0	2	33	3	0	10	30	23	2	0	0	3	0	0	1	0	2	6	0	0	14	6	1	1
K00007	0	0	0	0	0	0	0	0	2	7	1	28	0	0	0	0	0	0	0	4	4	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	16	0	5	0	0	0	0	2	0	0	0	0	2	0	0	0	0	2	0	0	0	0	3	10	5	0	0	3	0	0	0	0	0	0	0	30	17	0	2	1	0	0	0	0	0	22	0	12	1	0	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	1	0	1	0	0	2	0	0	64	6	0	0	0	1	0	0	0	4	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	4	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	2	0	0
K00008	1	1	0	0	0	1	0	0	0	2	4	11	0	4	4	6	1	1	0	5	2	1	19	0	2	8	1	224	5	112	3	12	0	16	1	0	1	0	1	49	0	0	6	1	7	3	0	0	1	0	0	30	36	0	17	0	14	36	4	23	1	4	0	13	42	171	146	20	61	79	2	3	80	8	1	22	2	2	1	0	1	0	23	2	3	21	1	2	0	2	9	11	18	4	1	0	5	4	0	0	1	1	6	82	0	0	1	8	0	3	0	6	1	0	7	5	5	1	0	0	0	0	1	0	2	18	4	0	0	1	0	0	0	8	0	0	0	0	1	0	0	0	0	0	0	90	1	3	7	0	1	0	0	0	5	1	0	0	0	3	16	1	0	5	11	0	0
K00009	0	20	17	0	16	0	0	0	2	0	0	0	0	19	3	18	0	0	0	14	0	22	9	23	0	38	0	0	0	1	0	15	3	0	67	0	13	1	2	21	0	0	54	20	1	0	11	0	63	0	9	1	0	0	67	121	6	0	32	207	13	6	0	1	22	0	0	0	0	0	42	3	17	62	35	1	18	0	0	6	7	8	41	24	27	2	71	124	22	190	15	18	183	2	0	79	4	59	2	104	3	6	0	70	0	0	13	2	14	10	13	10	37	4	26	0	0	50	18	20	24	73	90	26	27	40	10	53	14	158	71	40	65	0	1	1	0	12	9	0	6	0	20	24	11	23	0	45	30	1	0	42	11	9	13	0	0	81	16	90	83	0	197	107	2	0	0
K00010	1	0	0	0	0	0	0	0	50	39	9	112	0	2	0	6	1	15	0	11	6	0	9	2	13	1	1	291	1	96	1	1	0	16	0	0	0	38	0	14	1	0	2	3	7	1	0	0	0	3	0	33	45	0	4	0	1	39	3	9	10	8	0	4	5	191	166	21	164	79	0	16	92	29	1	13	2	2	1	0	1	0	32	2	29	5	0	158	1	43	9	11	18	1	3	0	5	1	0	0	1	1	3	85	0	0	1	1	0	2	0	1	13	0	8	118	19	3	19	9	10	1	1	2	4	21	12	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	10	13	12	12	5	1	0	1	0	0	1	1	1	0	0	1	1	1	0	5	8	1	0
K00011	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	12	0	0	0	635	0	0	0	8	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0
