	N00002	N00003	N00005	N00007	N00009	N00010	N00011	N00015	N00017	N00019	N00021	N00022	N00024	N00027	N00028	N00029	N00032	N00033	N00034	N00040	N00042	N00044	N00046	N00047	N00048	N00050	N00053	N00054	N00056	N00058	N00060	N00061	N00062	N00064	N00066	N00067	N00070	N00071	N00072	N00076	N00078	N00080	N00082	N00084	N00086	N00088	N00089	N00090	N00091	N00092	N00093	N00100	N00102	N00104	N00106	N00108	N00109	N00112	N00114	N00115	N00116	N00117	N00119	N00120	N00121	N00123	N00125	N00127	N00129	N00133	N00134	N00136	N00138	N00140	N00141	N00143	N00144	N00146	N00148	N00150	N00153	N00154	N00157	N00159	N00161	N00164	N00166	N00170	N00172	N00174	N00176	N00177	N00178	N00179	N00180	N00182	N00184	N00185	N00186	N00188	N00190	N00192	N00193	N00194	N00195	N00197	N00198	N00199	N00200	N00201	N00202	N00203	N00205	N00207	N00209	N00211	N00213	N00215	N00216	N00217	N00219	N00221	N00222	N00223	N00225	N00228	N00229	N00230	N00234	N00236	N00237	N00240	N00241	N00242	N00243	N00244	N00246	N00248	N00254	N00255	N00256	N00257	N00263	N00265	N00267	N00269	N00272	N00275	N00277	N00278	N00279	N00284	N00285	N00286	N00287	N00291	N00292	N00294	N00297	N00299	N00300	N00313	N00319	N00326	N00328	N00329	N00356	N00357	N00358	N00360	N00362	N00364	N00366	N00367	N00368	N00370	N00371	N00372	N00373	N00378	N00380	N00383	N00385	N00387	N00391	N00395	N00398	N00399	N00401	N00403	N00404	N00408	N00410	N00412	N00414	N00415	N00417	N00418	N00420	N00422	N00424	N00428	N00430	N00431	N00432	N00436	N00440	N00442	N00446	N00447	N00449	N00453	N00457	N00460	N00461	N00469	N00471	N00472	N00473	N00474	N00477	N00479	N00481	N00483	N00485	N00487	N00488	N00489	N00496	N00497	N00499	N00501	N00505	N00507	N00510	N00513	N00514	N00515	N00518	N00520	N00522	N00525	N00529	N00650	N00652	N00654	N00656	N00657	N00658	N00661	N00665	N00667	N00669	N00671	N00673
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Escherichia|0	15	201	244	0	38	87	79	12	0	0	1	40	42	5	30	1	282	0	0	0	0	8	22	57	0	76	0	7	1	45	1	0	0	16	38	10	41	255	0	2	0	38	158	136	0	158	181	16	51	0	0	2	8	0	46	138	52	0	0	0	2	14	71	40	286	58	129	0	0	137	0	122	0	148	102	44	76	0	3	30	6	5	0	0	1	6	3	11	28	61	78	19	106	130	46	21	0	0	4	57	0	0	2	25	0	391	821	137	64	569	827	3	0	107	1	27	2	0	0	27	0	5	3	13	21	94	51	0	0	0	0	0	0	1	3	101	0	14	1	0	164	160	50	8	2	24	139	0	388	630	50	20	16	1	23	220	37	0	25	213	257	0	0	48	14	7	55	30	499	0	25	8	1	0	0	0	1	126	24	0	10	345	93	1	13	0	62	1	1	105	119	117	0	16	1	1	7	18	60	18	15	265	4	9	1	584	2	25	46	143	28	253	26	67	0	9	7	48	151	188	57	77	2	667	25	1	2	60	90	2	0	75	28	19	0	3	431	119	95	32	1	0	197	2	0	16	20	16	256	127	2	11	0	0	1
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|1	191	89	0	1	0	0	0	0	9	31	11	4	5	6	1	3	80	12	13	18	3	0	9	63	2	0	7	0	20	123	10	4	18	39	42	55	33	28	43	2	37	138	0	0	73	7	6	9	55	29	28	47	19	0	4	224	91	0	4	19	0	0	29	16	0	23	0	0	1	4	4	108	24	2	0	3	7	1	7	9	23	6	0	10	2	0	11	0	1	71	13	11	40	9	3	114	0	0	0	57	77	0	0	58	58	0	0	24	18	1	5	1	0	0	124	27	97	0	0	0	0	47	19	22	38	62	7	11	0	0	0	74	28	26	51	49	0	52	15	4	11	9	0	0	0	2	28	39	0	0	12	5	63	16	12	93	153	1	6	29	56	0	9	83	38	21	21	10	89	0	1	1	10	8	4	0	0	10	15	1	0	1	0	13	133	145	2	0	1	7	5	4	0	2	0	1	6	22	5	18	47	273	1	0	81	81	168	0	47	10	129	27	49	0	10	17	29	110	82	163	227	10	151	0	41	3	1	1	53	30	4	349	114	3	6	5	14	3	0	126	0	0	150	0	0	37	33	29	0	1	1	7	0	0	4
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|2	101	341	0	0	0	0	0	0	25	49	0	1	0	7	63	46	10	185	295	0	71	0	0	0	50	0	54	0	3	23	0	0	0	0	79	62	0	0	12	35	53	173	0	0	0	26	46	0	0	8	8	1	0	0	0	0	1	0	2	9	0	0	42	32	0	5	0	0	0	0	0	0	0	0	0	36	140	0	0	27	2	0	0	55	0	0	143	0	0	0	3	4	0	1	28	6	0	0	0	0	66	0	0	0	0	0	0	0	0	4	5	4	0	0	111	31	27	0	0	0	0	0	0	0	82	3	4	3	0	0	0	42	30	52	27	0	0	2	2	0	0	0	0	0	83	0	13	24	0	1	47	0	20	11	68	0	0	0	1	55	168	0	69	0	72	81	3	6	46	0	6	2	4	7	16	0	0	0	0	1	0	0	0	8	0	0	0	0	57	22	46	17	0	0	47	7	29	85	107	0	0	3	47	102	58	5	1	51	0	1	58	27	1	0	67	0	0	5	2	5	2	0	32	1	10	174	198	0	1	0	0	43	53	1	6	0	2	0	0	245	0	1	0	0	0	0	5	9	0	0	53	0	10	0	2
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|3	63	0	0	1	0	0	0	0	4	1	83	45	29	0	0	0	1	32	40	0	0	0	8	11	0	0	7	0	25	0	0	0	64	0	4	3	0	0	0	4	0	11	0	0	2	14	12	24	72	13	25	0	55	0	14	0	0	0	0	0	0	0	10	4	0	7	0	0	22	0	0	1	80	1	1	0	2	12	2	1	35	6	0	18	0	0	4	0	0	0	7	3	0	0	13	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	20	0	37	0	0	0	0	1	166	159	131	23	1	3	0	1	0	0	14	21	6	18	0	0	15	0	1	118	42	0	1	13	3	34	0	0	0	99	1	76	10	17	0	0	0	0	0	1	0	35	0	94	136	4	2	62	0	1	0	80	22	9	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	34	79	187	0	285	0	13	14	35	0	0	10	105	1	172	0	0	1	0	0	117	667	3	2	122	11	0	1	0	3	4	1	0	1	0	1	8	0	1	2	1	0	0	0	1	0	1	0	1	44	77	196	0	3	11	0	24	0	19
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|4	0	2	0	73	0	256	4	0	1	0	0	0	0	7	0	0	1	1	0	0	29	0	15	32	0	0	0	9	7	1	26	8	5	5	2	0	0	0	2	0	221	2	0	0	0	0	1	0	0	1	0	1	0	0	3	86	45	0	9	89	0	0	0	0	0	4	1	0	0	5	1	5	0	96	0	0	0	0	0	0	3	0	0	1	0	0	0	0	1	7	1	0	10	1	0	2	3	120	0	17	19	0	2	1	0	0	0	0	1	0	4	0	0	0	6	0	0	0	0	0	0	0	1	0	9	35	3	0	0	0	1	2	0	0	0	0	0	0	21	6	0	0	0	4	0	29	3	0	0	0	0	0	29	15	5	0	0	0	0	0	1	5	18	0	12	1	81	42	0	0	0	0	0	0	14	619	74	0	0	0	0	0	1	0	14	148	0	5	4	0	0	0	0	0	0	0	0	0	0	13	0	153	0	0	0	0	1	16	1	27	3	0	1	0	43	2	32	169	46	109	211	0	14	0	0	62	76	0	3	0	192	5	9	57	0	14	115	20	0	1	11	1	1	0	0	1	0	0	0	7	1	25	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium|5	31	0	0	0	0	0	0	0	6	0	1	0	0	0	3	34	0	10	8	0	10	0	2	4	6	0	0	0	32	10	0	0	2	0	4	10	0	2	1	53	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	73	30	0	0	0	0	0	0	0	0	4	0	0	9	0	0	0	0	0	0	17	45	35	0	0	4	0	0	0	0	0	16	0	0	0	0	0	0	0	32	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	2	9	55	54	0	0	0	0	0	8	18	0	0	0	0	0	89	25	0	0	42	0	28	0	0	0	0	0	218	50	0	0	0	37	0	41	22	0	165	0	0	1	0	0	0	0	1	0	41	21	99	0	0	0	0	0	0	0	0	0	0	0	0	0	18	4	3	0	0	0	1	3	0	0	4	0	0	0	14	3	123	1	0	96	0	36	31	60	0	0	94	0	0	0	0	1	33	0	0	0	0	96	313	0	0	0	0	0	0	0	20	186	28	0	0	48	0	0	0	0	0	0	2	1	0	0	66	29	12	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|6	7	95	0	0	0	0	0	0	5	0	2	0	0	0	0	27	0	0	0	1	12	0	10	42	11	4	21	1	20	30	1	1	21	30	0	2	2	2	2	5	0	4	1	0	0	1	0	8	26	0	3	0	16	0	22	2	0	0	0	0	0	0	4	2	0	7	0	0	5	1	2	0	18	1	0	7	10	8	0	9	13	5	0	1	0	0	1	0	0	0	0	0	0	0	18	1	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	12	0	0	0	14	0	0	0	0	0	0	0	81	12	1	5	17	0	0	0	7	0	129	40	3	0	54	1	0	71	44	0	0	57	0	16	19	0	0	4	7	46	18	47	11	9	34	5	3	2	0	146	0	3	4	0	0	0	1	0	0	20	15	22	0	0	0	0	1	0	0	0	3	51	0	0	0	24	1	1	0	1	0	37	0	0	0	46	0	7	33	10	9	26	18	2	4	4	0	26	41	0	0	17	0	0	3	2	3	22	0	0	1	1	8	22	1	3	0	0	2	1	0	9	18	2	0	0	2	1	1	0	0	0	0	2	2	0	0	45	19	10	0	6
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|7	1	0	70	191	0	1	0	0	0	0	2	1	0	0	0	0	19	0	1	0	0	138	13	27	0	0	0	0	0	3	0	0	0	1	0	1	0	1	0	0	118	89	0	0	0	0	0	0	0	1	1	4	1	0	0	77	65	2	0	0	1	0	0	1	0	0	0	1	0	4	0	264	0	1	0	0	0	0	0	0	0	0	0	0	0	23	7	0	22	0	0	0	364	70	1	1	0	0	0	36	68	48	9	0	0	0	0	0	2	0	5	0	0	0	61	0	2	0	0	0	0	0	0	0	0	12	1	0	172	0	0	1	0	0	0	0	0	0	0	0	0	0	0	285	0	0	20	0	0	0	52	0	0	0	4	0	0	0	0	52	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	112	44	0	0	0	0	0	0	0	0	12	7	0	0	1	0	0	0	0	0	1	0	0	10	28	3	3	0	0	0	0	2	0	9	33	2	0	0	0	0	14	60	279	1	10	5	0	9	25	5	0	2	66	279	1	34	113	0	7	0	0	367	68	0	0	13	165	34	0	0	6	0	0	0	19	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|8	0	17	4	389	0	473	16	4	2	0	0	1	0	10	0	0	0	0	2	1	3	16	1	28	0	0	0	104	0	73	0	0	3	15	1	0	0	0	1	1	131	9	0	0	1	1	2	0	0	0	0	0	1	0	2	84	45	73	7	98	0	0	1	1	0	4	0	0	0	5	0	23	0	3	0	0	1	18	2	0	0	0	0	1	0	1	0	1	6	0	0	0	7	1	1	7	0	0	487	4	26	3	3	26	0	0	0	0	1	0	2	1	0	585	102	2	0	1	0	332	0	9	2	0	2	4	6	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	60	4	0	0	2	106	25	6	28	0	0	0	0	11	21	14	0	17	10	0	0	0	0	0	0	2	1	2	78	0	0	0	0	0	0	0	0	4	0	0	0	69	0	0	0	0	0	1	0	0	0	0	24	228	28	11	0	0	31	12	1	27	0	10	1	2	289	0	1	9	17	36	48	64	107	1	27	0	0	82	88	0	25	10	138	1	9	36	0	3	26	5	0	6	0	1	0	1	0	21	0	0	8	2	15	37	0	1	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|9	50	0	17	0	15	3	18	2	0	0	51	7	34	0	7	60	2	1	2	13	49	0	1	2	0	204	14	181	42	7	0	0	1	9	4	4	0	0	2	0	9	17	37	0	110	0	0	0	19	11	6	67	2	0	0	20	12	0	0	8	5958	1480	3	9	2	9	0	0	5	0	1238	347	25	5	0	0	0	2656	382	0	6	2	4	20	1	537	1	0	2	1	379	57	5	5	41	21	2	0	50	8	55	0	1	75	297	24	3	7	0	0	0	0	0	5	23	5	90	80	38	23	422	37	61	1	1	5	17	21	12	3	4	0	0	1	0	45	5	1	0	0	7	4	32	16	1	2	9	12	22	32	96	144	64	24	182	603	12	573	0	0	1	13	88	20	1	4	30	14	2	317	0	298	26	2	14	2	2	0	0	17	17	20	46	24	18	97	0	8	0	4	0	0	0	50	0	969	0	0	41	0	0	867	10	1	6	0	257	22	1	1089	23	29	10	0	60	0	11	12	45	25	18	15	4	47	0	19	19	109	5	126	13	62	18	7	33	42	69	0	0	32	1	0	0	705	1	7	1	2	0	20	26	4	6	420	989
