	N00002	N00003	N00005	N00007	N00009	N00010	N00011	N00015	N00017	N00019	N00021	N00022	N00024	N00027	N00028	N00029	N00032	N00033	N00034	N00040	N00042	N00044	N00046	N00047	N00048	N00050	N00053	N00054	N00056	N00058	N00060	N00061	N00062	N00064	N00066	N00067	N00070	N00071	N00072	N00076	N00078	N00080	N00082	N00084	N00086	N00088	N00089	N00090	N00091	N00092	N00093	N00100	N00102	N00104	N00106	N00108	N00109	N00112	N00114	N00115	N00116	N00117	N00119	N00120	N00121	N00123	N00125	N00127	N00129	N00133	N00134	N00136	N00138	N00140	N00141	N00143	N00144	N00146	N00148	N00150	N00153	N00154	N00157	N00159	N00161	N00164	N00166	N00170	N00172	N00174	N00176	N00177	N00178	N00179	N00180	N00182	N00184	N00185	N00186	N00188	N00190	N00192	N00193	N00194	N00195	N00197	N00198	N00199	N00200	N00201	N00202	N00203	N00205	N00207	N00209	N00211	N00213	N00215	N00216	N00217	N00219	N00221	N00222	N00223	N00225	N00228	N00229	N00230	N00234	N00236	N00237	N00240	N00241	N00242	N00243	N00244	N00246	N00248	N00254	N00255	N00256	N00257	N00263	N00265	N00267	N00269	N00272	N00275	N00277	N00278	N00279	N00284	N00285	N00286	N00287	N00291	N00292	N00294	N00297	N00299	N00300	N00313	N00319	N00326	N00328	N00329	N00356	N00357	N00358	N00360	N00362	N00364	N00366	N00367	N00368	N00370	N00371	N00372	N00373	N00378	N00380	N00383	N00385	N00387	N00391	N00395	N00398	N00399	N00401	N00403	N00404	N00408	N00410	N00412	N00414	N00415	N00417	N00418	N00420	N00422	N00424	N00428	N00430	N00431	N00432	N00436	N00440	N00442	N00446	N00447	N00449	N00453	N00457	N00460	N00461	N00469	N00471	N00472	N00473	N00474	N00477	N00479	N00481	N00483	N00485	N00487	N00488	N00489	N00496	N00497	N00499	N00501	N00505	N00507	N00510	N00513	N00514	N00515	N00518	N00520	N00522	N00525	N00529	N00650	N00652	N00654	N00656	N00657	N00658	N00661	N00665	N00667	N00669	N00671	N00673
Unclassified	0.001297715	0.001991767	0.000707142	0.079646018	0.035194881	0.018295308	0.006550802	0.037417625	0.011373376	0.042147117	0.002888204	0.007801764	0.010453522	0.313681869	0.001130408	0.003241583	0.001508102	0.001427852	0.007252671	0.003153404	0.002785637	0.168835502	0.002968262	0.000958084	0.015489409	0.129530265	0.00032652	0.157918249	0.00026456	0.001016644	0.00388927	0.024736205	0.002153846	0.036911719	0.000511509	0.001096491	0.017406611	0.000859036	0.03096392	0.017395626	0.095224396	0.001735842	0.012433321	0.258058271	0.014157135	0.001188442	0.009989373	0.00137141	0.00865816	0.00271408	0.001450011	0.00766417	0.009111166	0.029781374	0.249809596	0.000695928	0.000979362	0.147552958	0.010401891	0.014697455	0.002308429	0.012674825	0.001182233	0.002583145	0.008679075	0.045431244	0.0295195	0.592193809	0.164560863	0.000690571	0.145245902	0.003905848	0.362892013	0.07815075	0.028331729	0.002123453	0.002477493	0.047444683	0.126938334	0.089660585	0.001452345	0.044907175	0.641498559	0.019597769	0.042445314	0.02650562	0.004372888	0.484042553	0.094053852	0.011509517	0.038111669	0.036303081	0.061719256	0.015427481	0.041931021	0.008255279	0.458483755	0.502897618	0.66755084	0.010408014	0.00483559	0.005501834	0.069412069	0.158783331	0.003427491	0.007877197	0.001097333	0.004885632	0.012858926	0.000280757	0.001563043	0.378378378	0.167076167	0.126885744	0.003244245	0.001560349	0.227562247	0.160641609	0.104854034	0.026008493	0.38697259	0.000807347	0.000891928	0.074687948	0.003345295	0.003177608	0.003467786	0.00164395	0.032010243	0.304263566	0.750887574	0.102540971	0.016134454	0.197726593	0.007468795	0.038204161	0.082616779	0.021996406	0.00535523	0.007971446	0.000208725	0.000438078	0.072194199	0.079609656	0.001365209	0.008198266	0.00087108	0.029014507	0.003986388	0.017653982	0.010655166	0.209113254	0.001083511	0.002623107	0.002374639	0.003673354	0.054371887	0.004204893	0.119018776	0.035961451	0.001867176	0.077652638	0.000660824	0.012279889	0.001126036	0.013042701	0.02531909	0.008119209	0.016132873	0.113973586	0.082128398	0.105841121	0.003329204	0.003944773	0.024514666	0.040254039	0.024969228	0.045227098	0.021671827	0.085188356	0.028087448	0.038384417	0.246877723	0.105939988	0.030464281	0.196721311	0.024992091	0.012243047	0.004302397	0.022664342	0.007628814	0.02523391	0.466292135	0.06838979	0.245394737	0.190349622	0.016834171	0.015991471	0.004398021	0.242875067	0.004049905	0.008729457	0.007547697	0.001571595	0.000799473	0.022603382	0.009192646	0.003328578	0.026548673	0.007908651	0.00207158	0.001268231	0.14892713	0.085626911	0.025103367	0.048413567	0.007637232	0.005694724	0.000922644	0.00462565	0.010083556	0.010363496	0.486933442	0.019600399	0.010400777	0.001231961	0.000390168	0.07299912	0.00141138	0.008404848	0.178971309	0.004286569	0.157254016	0.004118091	0.136027319	0.02591453	0.004202468	0.018413248	0.059604794	0.013015243	0.046303657	0.002137982	0.003070157	0.029103053	0.703517588	0.001264804	0.002304147	0.000723705	0.01051206	0.004126547	0.001462729	0.000266916	0.000321165	0.050104871	0.004437273
Erysipelotrichaceae 77	0.002089004	0.000298765	0	0	0	0	0	0	0.000428562	0.009741551	0.000876197	0.001063877	0.001393803	0	0.000205529	0	0.002149848	0.004535528	0.001302875	0.055648303	0.000130577	0	7.61093e-05	0.000547476	9.33097e-05	0	0.000587736	0	0.00192751	0.006477474	0	0	0.001969231	0	0	0	0.00058674	0.000899943	0.000134626	0	0	0.000867921	0	0	0.000187512	0.000148555	0.000690755	0.00201678	0.001612451	0.000720062	0.001232509	0	0	0	0	7.19925e-05	0	0	0	0	0	0	0.001182233	0.000887956	0	0	0	0	0	0	0	0.001284819	0.001081415	0.002081707	0	0	0	0	0	0	0.000242057	0	0	0.007927187	0.106910039	0	0.002385212	0	0	0	0	0	0	0	0	0.000198444	0	0	0	0.022379673	6.23947e-05	0	0	0.061503417	0.074459284	0	0	0.01143682	0.020848939	0	0	0	0	0	3.8622e-05	0.000367141	0	0	0	0.000663482	0	0.013623978	0.010405827	0	0.000912353	0	0	0	0	0	0	0.00135318	0.000504202	0.000448699	0.000306937	0	0	0	0	0	0.000327996	0.000262847	0.00220681	8.56018e-05	0.000507985	0	0.0003111	0.017508754	0	0	0.019597894	0.035734543	0.00012039	0	0.002730835	0.004690591	0.002075263	0	0	0	0	0	3.47802e-05	0.006024096	0.000321724	0	0	0	0.001279914	0	0.003181029	0	0.003638897	0.003550296	0	0	0	0	0	0	0	0	0	0.006429884	0	0	0	0	0.000526824	0	0	0	0	0	0	0.000204457	0	0	0.009826828	0	0.005486968	2.32786e-05	0	0	0	0.001145794	0	0	0	0	4.40762e-05	0	0	0	0	0	0.000477327	0.000767828	0.001553926	0.000654959	0	0	0	0	0	5.86648e-05	3.2514e-05	0	0	0	0	3.32292e-05	0	0	0	0	0	0	0	0.003408115	0	0	0	0	0	0	0.002304147	0.001447411	0	0.001375516	0.000843882	0.000400374	0	0	0
Alcaligenaceae 58	6.33032e-05	0.042557429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000130577	0	0	0	0	0	0	0	0.000982652	0	0	0	0.000923077	0	6.39386e-05	0.000219298	0	0	0	0	0	0.000185983	0	0	0	0	0	0	0	0	0	0	0.000148552	0	0	0	0	0	0	0	0	0	0.000619265	0.000807233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000196194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000115781	0	0	0	0	9.17852e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00598265	0.000409249	0	0	0	0	0	0	0	0	0	0.00066673	0	0	0	0	0	0	0	0	0	7.91546e-05	0	0	0.000917431	0.00090854	0	0	0	5.21703e-05	0	0	0	6.93674e-05	0	0	0	0	0	0.00023227	0	0.000212555	0	0	0	0	0.000214041	0	0	0	0	0	0	0	0	0.00043902	0	0	0	0.006554307	0	0	0	0	0	0	0	0	0	0.001188063	0.001688009	0	0	3.63346e-05	0	0	0	0.000264457	0	0	0	0.001004135	0	0.000859189	0.000863807	0	2.04675e-05	2.36703e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lachnospiraceae 117	0	0.001792591	3.36734e-05	0	0	0	0	0	0	0	3.24517e-05	0	0	0	0	0.002388535	0	0	0	0	0	0	0.000228328	0.000684346	0.003545768	0	0.000848952	0	0.016251559	0	0	0	0.003876923	0.003137496	0	0	0	0	0	0	0	0.000123989	0	0	0	0.011513036	0.004038257	0	0	0	0	0	0	0	0.000190404	2.39975e-05	0	0	0	0	0	0	0.000844452	0.001372296	0	0	0	0	0	0	0	0	0.000772439	0	0	0.000951893	6.97885e-05	0	0	0	0	0	0	0	0	0	0.002285828	0	0	0	0	0	0	0	0.000333922	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000912575	0.00011956	0	0	0	0	0	0	0	0	0	0	0	0	0.003757044	0.002234196	0	0	0.014636315	0	0.00273768	0	0	4.90388e-05	0	0	0.00016052	0	0.013100091	0	0	0	0	0	0	0	0.018868253	0	0	0	0	0	0	0	0	0	0	0.000262985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000790236	0	0	0	0	0	0.000657895	0	0	0	0	0	0	0	0	0	0.000799473	0	7.26691e-05	0.000297194	0	0	4.40762e-05	0	0	0	0	0	0	0	4.85602e-05	0	0	0	0	0	0	0.001701279	0.002438549	0	0	0	0	3.32292e-05	0	5.80013e-05	0	0.002393162	0	0	0.000323939	0	0	0	0	0	0	0	0.001152074	0.00048247	0	0	0.001350211	0.000800747	0.000107055	0	0
Oxalobacteraceae 333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000228781	0	0.000246154	0.000246078	0	0	0	0	0.002288638	0	0.000575374	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.01681e-05	0	0	0	0	0	0.000327869	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.84173e-05	0.000146592	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00014476	0	0	0	0.000461965	0	0	0.000136416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001261034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001817081	0	0	0	0	0	0	0.002680007	0	0	0	0	0	0	0	0	0	0	0	0	0.006088751	0	0	0	0	0	0	0.000234192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.40762e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.42832e-05	0.001327081	0	0	0	0	0	0	0	0	0	0	0.067567568	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Erysipelotrichaceae 116	0	0.000564334	0	0	0	0	0	0	0.000395596	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004767191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.42776e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.019760176	0.013965128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000116198	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000443965	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001445922	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000351216	0	6.25313e-05	0	0	0	0.002631579	0	0	0	0	0	0	0	0.00642952	0.00314319	0.001363807	0	0.019329991	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002135326	0	0	0
Alcaligenaceae 4522	0.001614231	0.069877838	0	0	0	0	0	0	0	0	3.24517e-05	0	0	0	0	0	3.20873e-05	0	0	0	0.002393906	0	0	0	0	0	0	0	0.02683397	0	0	0	0.017784615	0	0.001086957	0.006067251	0	0	0	0	0	0.00285174	0	0	0.001406338	0	0	0	0	0	0	0	0.011537509	0	0	0	0	0	0	0	0	0	0.01739571	0.03027123	0	0.000833013	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000980969	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000259	0	0	0	0	0	0	0.000505362	0.000868357	0	0	0	0	0.000734282	0	0	0	0.000663482	0	0	0	0	0	6.76087e-05	0	0	0	0	0	0	0	0.010020939	0.013402906	0	0	0	0	0	0	0	0	0	0.015271296	0	0.00180438	0	0	0	0	0	0	0	0.001108165	0	0	0.010091743	0.062992126	0	0	0	0.002156372	0	0	0	0.000693674	0.000573121	0	0	0	0	0.003406627	0.003155819	0.012399036	0	0	0	0	0.000428082	0	0	0	0	0	0	0	0	0.00983405	0	6.25313e-05	0	0.009831461	0	0	0	0	0	0	0	0	2.32786e-05	0.01768118	0.026949942	0	3.4721e-05	7.26691e-05	0.00053495	0	0	0.00528914	0	0	0	0.012876551	0	0.010405728	0.010909556	0	0	0	0	0	0	0.000138677	5.86648e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000152835	0	0	0	0	0
Dorea 63	0	0.007402735	0	0	0	0	0	0	0.001054922	0	0.006230732	0.001595815	0	0.004449388	0.025485562	0.001421747	0	0	0.000781725	0.000185494	0.004134929	0	0.000989421	0.000718563	0	0	0	0	0.006009297	0.000261423	0	0	0.006338462	6.15195e-05	0.009079284	0.020760234	0.01936241	0.006995009	0	0.009774685	0	0.002975729	0	0	0	0	5.3135e-05	8.06712e-05	3.50533e-05	0.006702116	0.002320017	0	0	0	0.000190404	0	0	0	0	0	0	0	0	0	0	0.001089325	0	0	0.01248074	0	0	0	0.001853854	0.000260213	0	0	0	0.001830831	0.001622791	0	0.001391831	0.009784245	0	0	0	0	0	0	0	0	0	0	0	0	0.005485856	0	0	0	0	0	0	0	0	0.003483854	0.013355395	0	0	0	0	0	0	0.001287001	0	0	0	0.013492428	0	0	0	0	0	0	0	0	0.004926708	6.76087e-05	0.003102756	0.010610952	0	0	0	0.007818373	0.012268908	0.007627879	0.007673419	0	0	0	0	0	0.003041417	0.004293162	0	0	0	0	0.007217521	0	0	0	0	0.002079788	0.0004013	0.001311554	0.00205802	0.013619667	0.004703929	0.011391437	0.015748031	0	0	0	0.005008347	0	0	8.93336e-05	0	0	0	0	0.003470214	0	0.000154847	0.00052597	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003424357	0.000512768	0.000750375	0.000283527	0	0.000160539	0.004605263	0	0	0	0	0.000179244	0.009406232	0	0	0	0.001175696	3.4721e-05	7.26691e-05	0.007251545	0	0	0	0.000986402	0	0	0	0	0	6.39857e-05	0	0.000470752	0.000520747	0.000773395	0	0	0	0.003226563	0.002438549	0	0	0	0	0	0	0	0.00142288	0.001094017	0	0	0	2.68356e-05	0	0	8.29772e-05	0	0	0	0.001305684	0.000804117	0	0	0.004106892	0	0.011883096	0	0
Blautia 6	0.000221561	0.003153632	0	0	0	0	0	0	0.000164832	0	6.49035e-05	0	0	0	0	0.001535487	0	0	0	0.000185494	0.000522307	0	0.000761093	0.001437126	0.001026407	0.000376541	0.001371384	0.000223364	0.000755886	0.000871409	7.62602e-05	0.00017298	0.001292308	0.001845586	0	0.000146199	0.00039116	8.1813e-05	0.000269251	0.000414182	0	0.000123989	4.01075e-05	0	0	7.42776e-05	0	0.000645369	0.000911385	0	0.000217502	0	0.000792275	0	0.00418888	2.39975e-05	0	0	0	0	0	0	0.000225187	0.000161447	0	0.000448545	0	0	0.000770416	5.31208e-05	0.000327869	0	0.002780782	8.67378e-05	0	0.000512558	0.000348943	0.000418476	0	0.001765745	0.000786687	0.00125439	0	7.33999e-05	0	0	9.93838e-05	0	0	0	0	0	0	0	0.000858656	3.96888e-05	0	0	0	0	0	0	0	0	0	0	0	0	0.000249688	5.61514e-05	5.78905e-05	0.015444015	0	0	0	0.001284993	0	0	0	0	0	0	0	0.005524862	0.000729883	6.76087e-05	0.000456288	0.00050813	0	0	0	0.001052473	0	0.019294047	0.00409249	0.000365008	0	0.003345932	8.92538e-05	0	0.002117065	0.001927542	0	0	0.001809696	0	0.00099552	0.003168251	0	0	0.000253694	0.001323502	0.001845981	0.002146179	0.001860134	0.000621645	0.001245158	0.002599388	0.001514234	0.000194037	8.48716e-05	0	0.002538954	0	0.000241293	0.000357334	0	0	0	0.000163052	0	0	0.001548467	0.001972387	0.001558736	0	0	0	0	0.000214041	0	0	0	0.000918555	0.003392311	0	0	0	0.002107297	0.000102554	6.25313e-05	0	0.000468165	0	0.024342105	0	0	0	0.003161078	0	0.000457247	0.000768192	0.000698861	0.000523865	0.001222724	0.000624978	7.26691e-05	0.000237756	0.000804505	0	0.00114598	0.002888748	0	0	0.001004135	0	0	9.59785e-05	9.71204e-05	6.14024e-05	0.000520747	0	0	4.74586e-05	0.000138677	0.000469318	0.000715308	0.000125644	0.00022285	0	0	6.64584e-05	0.000125502	0	0.002561184	0.001230769	5.35346e-05	0	0	5.36711e-05	0.000198728	4.1115e-05	0	0	0	0	0.00015361	0.000160823	0	0	0.002531646	0.0025357	0.001070549	0	0.000605083
Gemella 80	0.000664683	3.31961e-05	0	9.21829e-05	0.001745201	0.003013345	0.004679144	0.000335083	0.000329663	0	0.000389421	0	0	0	0.000205529	0	0	0.00067193	0.001216017	0	0.000348205	0	0	0	0	0.024004518	0.000261216	0.009157918	0.004988851	0.000174282	7.62602e-05	0	0.000246154	0	0.000767263	0	0.00058674	0.000163626	0.001615509	0	0.000479478	0.000495955	0	0	0	0	0	0	0	0.001218567	0.001087508	0	0.000297103	0	0	7.19925e-05	0	0.00182615	0	0.000505646	0.000281516	0	0.000112594	0	0.002809412	0	0.000107735	0	0	0	0	0.000102785	0.01235903	0.000260213	0	0	0	0.003452425	0.001622791	0	0.000121029	0	0.003458213	0.002275396	0.002607562	0.056282503	9.93838e-05	0	0.006170531	0	0	0	0	0	0	0.000277822	0.005673027	0	0.00760389	0.001759101	0.00258938	0.000166722	0	0.004019831	0	0	0	0.002109705	0	0	0	0	0.006254188	0.000116945	0.001235903	0	0.002171395	0.068949006	0.029711522	0.005573248	0.008623345	0	0.000148655	0.001432372	0	0.000270435	0.000912575	0.00023912	0	0.011627907	0.014201183	0.000150353	0	0.000747831	0.002557806	0.004501764	0.019056472	0	0.001517315	0	0.000417449	8.76155e-05	0.027742749	0.001112823	0	0.000282699	0	0.0003335	9.7229e-05	0	0.002727215	0.030062394	4.013e-05	0	0.000118732	5.65131e-05	0	0.001223242	0	0	0	0	0	0.000463392	8.04311e-05	0	0.000277469	0	0.013215859	0.031795206	0	0	7.74234e-05	0	0.003684285	0.000280191	0.002022156	0	0.000928793	0.019049658	0.000289561	0.002520768	0.001452222	0.005817514	0.004988692	0.005152225	0.001581778	0	0	0	0.000375188	0	0.007490637	0.004334564	0	0.001022286	0	0	0.003298516	0.000358487	0	0.002164905	0.000279544	0	0.000188111	0	0	0	0	0.004531923	0.000308533	0	0.002336945	0	0	0	0	0	0.000874083	0	0.000875802	0.005104408	0.001837485	0	0	0.000175994	0.000260112	0.071365749	0	0.003892772	0.00209937	9.96876e-05	0.000753012	0.00046401	0	0	0.001311598	0	0	0	0	0.00041115	0.000705306	0.182888041	0.005025126	0	0.000614439	0.000402059	0.000709403	0.003056702	0.000112518	0	0	0.03192729	0
