Level	Dataset 1	Dataset 2
0	X2;X0;X1;X9;X12;X13;X3;X4;X10;X11;X5;X15;X8;X7;X6;X14	Y15;Y7;Y0;Y1;Y12;Y13;Y8;Y6;Y3;Y4;Y5;Y9;Y10;Y11;Y2;Y14
1	X2	Y15
1	X2	Y7
1	X2	Y8
1	X2	Y6
1	X2	Y2;Y14
1	X2	Y9;Y10;Y11
1	X2	Y4;Y5
1	X2	Y3
1	X2	Y12;Y13
1	X2	Y0;Y1
1	X0;X1	Y15
1	X0;X1	Y7
1	X0;X1	Y8
1	X0;X1	Y6
1	X0;X1	Y2;Y14
1	X0;X1	Y9;Y10;Y11
1	X0;X1	Y4;Y5
1	X0;X1	Y3
1	X0;X1	Y12;Y13
1	X0;X1	Y0;Y1
1	X9	Y15
1	X9	Y7
1	X9	Y8
1	X9	Y6
1	X9	Y2;Y14
1	X9	Y9;Y10;Y11
1	X9	Y4;Y5
1	X9	Y3
1	X9	Y12;Y13
1	X9	Y0;Y1
1	X12;X13	Y15
1	X12;X13	Y7
1	X12;X13	Y8
1	X12;X13	Y6
1	X12;X13	Y2;Y14
1	X12;X13	Y9;Y10;Y11
1	X12;X13	Y4;Y5
1	X12;X13	Y3
1	X12;X13	Y12;Y13
1	X12;X13	Y0;Y1
1	X3;X4;X10;X11	Y15
1	X3;X4;X10;X11	Y7
1	X3;X4;X10;X11	Y8
1	X3;X4;X10;X11	Y6
1	X3;X4;X10;X11	Y2;Y14
1	X3;X4;X10;X11	Y9;Y10;Y11
1	X3;X4;X10;X11	Y4;Y5
1	X3;X4;X10;X11	Y3
1	X3;X4;X10;X11	Y12;Y13
1	X3;X4;X10;X11	Y0;Y1
1	X5	Y15
1	X5	Y7
1	X5	Y8
1	X5	Y6
1	X5	Y2;Y14
1	X5	Y9;Y10;Y11
1	X5	Y4;Y5
1	X5	Y3
1	X5	Y12;Y13
1	X5	Y0;Y1
1	X8;X7;X6;X14	Y15
1	X8;X7;X6;X14	Y7
1	X8;X7;X6;X14	Y8
1	X8;X7;X6;X14	Y6
1	X8;X7;X6;X14	Y2;Y14
1	X8;X7;X6;X14	Y9;Y10;Y11
1	X8;X7;X6;X14	Y4;Y5
1	X8;X7;X6;X14	Y3
1	X8;X7;X6;X14	Y12;Y13
1	X8;X7;X6;X14	Y0;Y1
1	X15	Y15
1	X15	Y7
1	X15	Y8
1	X15	Y6
1	X15	Y2;Y14
1	X15	Y9;Y10;Y11
1	X15	Y4;Y5
1	X15	Y3
1	X15	Y12;Y13
1	X15	Y0;Y1
2	X2	Y14
2	X2	Y2
2	X2	Y9
2	X2	Y11
2	X2	Y10
2	X2	Y5
2	X2	Y4
2	X2	Y13
2	X2	Y12
2	X2	Y1
2	X2	Y0
2	X1	Y15
2	X0	Y15
2	X1	Y7
2	X0	Y7
2	X1	Y8
2	X0	Y8
2	X1	Y6
2	X0	Y6
2	X1	Y14
2	X1	Y2
2	X0	Y14
2	X0	Y2
2	X1	Y9
2	X1	Y11
2	X1	Y10
2	X0	Y9
2	X0	Y11
2	X0	Y10
2	X1	Y5
2	X1	Y4
2	X0	Y5
2	X0	Y4
2	X1	Y3
2	X0	Y3
2	X1	Y13
2	X1	Y12
2	X0	Y13
2	X0	Y12
2	X1	Y1
2	X1	Y0
2	X0	Y1
2	X0	Y0
2	X9	Y14
2	X9	Y2
2	X9	Y9
2	X9	Y11
2	X9	Y10
2	X9	Y5
2	X9	Y4
2	X9	Y13
2	X9	Y12
2	X9	Y1
2	X9	Y0
2	X13	Y15
2	X12	Y15
2	X13	Y7
2	X12	Y7
2	X13	Y8
2	X12	Y8
2	X13	Y6
2	X12	Y6
2	X13	Y14
2	X13	Y2
2	X12	Y14
2	X12	Y2
2	X13	Y9
2	X13	Y11
2	X13	Y10
2	X12	Y9
2	X12	Y11
2	X12	Y10
2	X13	Y5
2	X13	Y4
2	X12	Y5
2	X12	Y4
2	X13	Y3
2	X12	Y3
2	X13	Y13
2	X13	Y12
2	X12	Y13
2	X12	Y12
2	X13	Y1
2	X13	Y0
2	X12	Y1
2	X12	Y0
2	X3	Y15
2	X10;X11	Y15
2	X4	Y15
2	X3	Y7
2	X10;X11	Y7
2	X4	Y7
2	X3	Y8
2	X10;X11	Y8
2	X4	Y8
2	X3	Y6
2	X10;X11	Y6
2	X4	Y6
2	X3	Y14
2	X3	Y2
2	X10;X11	Y14
2	X10;X11	Y2
2	X4	Y14
2	X4	Y2
2	X3	Y9
2	X3	Y11
2	X3	Y10
2	X10;X11	Y9
2	X10;X11	Y11
2	X10;X11	Y10
2	X4	Y9
2	X4	Y11
2	X4	Y10
2	X3	Y5
2	X3	Y4
2	X10;X11	Y5
2	X10;X11	Y4
2	X4	Y5
2	X4	Y4
2	X3	Y3
2	X10;X11	Y3
2	X4	Y3
2	X3	Y13
2	X3	Y12
2	X10;X11	Y13
2	X10;X11	Y12
2	X4	Y13
2	X4	Y12
2	X3	Y1
2	X3	Y0
2	X10;X11	Y1
2	X10;X11	Y0
2	X4	Y1
2	X4	Y0
2	X5	Y14
2	X5	Y2
2	X5	Y9
2	X5	Y11
2	X5	Y10
2	X5	Y5
2	X5	Y4
2	X5	Y13
2	X5	Y12
2	X5	Y1
2	X5	Y0
2	X8	Y15
2	X6;X14	Y15
2	X7	Y15
2	X8	Y7
2	X6;X14	Y7
2	X7	Y7
2	X8	Y8
2	X6;X14	Y8
2	X7	Y8
2	X8	Y6
2	X6;X14	Y6
2	X7	Y6
2	X8	Y14
2	X8	Y2
2	X6;X14	Y14
2	X6;X14	Y2
2	X7	Y14
2	X7	Y2
2	X8	Y9
2	X8	Y11
2	X8	Y10
2	X6;X14	Y9
2	X6;X14	Y11
2	X6;X14	Y10
2	X7	Y9
2	X7	Y11
2	X7	Y10
2	X8	Y5
2	X8	Y4
2	X6;X14	Y5
2	X6;X14	Y4
2	X7	Y5
2	X7	Y4
2	X8	Y3
2	X6;X14	Y3
2	X7	Y3
2	X8	Y13
2	X8	Y12
2	X6;X14	Y13
2	X6;X14	Y12
2	X7	Y13
2	X7	Y12
2	X8	Y1
2	X8	Y0
2	X6;X14	Y1
2	X6;X14	Y0
2	X7	Y1
2	X7	Y0
2	X15	Y14
2	X15	Y2
2	X15	Y9
2	X15	Y11
2	X15	Y10
2	X15	Y5
2	X15	Y4
2	X15	Y13
2	X15	Y12
2	X15	Y1
2	X15	Y0
3	X11	Y15
3	X10	Y15
3	X11	Y7
3	X10	Y7
3	X11	Y8
3	X10	Y8
3	X11	Y6
3	X10	Y6
3	X11	Y14
3	X10	Y14
3	X11	Y2
3	X10	Y2
3	X11	Y9
3	X10	Y9
3	X11	Y11
3	X10	Y11
3	X11	Y10
3	X10	Y10
3	X11	Y5
3	X10	Y5
3	X11	Y4
3	X10	Y4
3	X11	Y3
3	X10	Y3
3	X11	Y13
3	X10	Y13
3	X11	Y12
3	X10	Y12
3	X11	Y1
3	X10	Y1
3	X11	Y0
3	X10	Y0
3	X14	Y15
3	X6	Y15
3	X14	Y7
3	X6	Y7
3	X14	Y8
3	X6	Y8
3	X14	Y6
3	X6	Y6
3	X14	Y14
3	X6	Y14
3	X14	Y2
3	X6	Y2
3	X14	Y9
3	X6	Y9
3	X14	Y11
3	X6	Y11
3	X14	Y10
3	X6	Y10
3	X14	Y5
3	X6	Y5
3	X14	Y4
3	X6	Y4
3	X14	Y3
3	X6	Y3
3	X14	Y13
3	X6	Y13
3	X14	Y12
3	X6	Y12
3	X14	Y1
3	X6	Y1
3	X14	Y0
3	X6	Y0
