ID	SRS014459-Stool_profile	SRS014464-Anterior_nares_profile	SRS014470-Tongue_dorsum_profile	SRS014472-Buccal_mucosa_profile	SRS014476-Supragingival_plaque_profile	SRS014494-Posterior_fornix_profile
Actinomyces_graevenitzii	0.0	0.0	0.85102	0.0	0.0	0.0
Corynebacterium_matruchotii	0.0	0.0	0.0	0.0	58.21595	0.0
Corynebacterium_pseudodiphtheriticum	0.0	14.07759	0.0	0.0	0.0	0.0
Rothia_dentocariosa	0.0	0.0	0.0	0.0	32.10966	0.0
Bacteroides_cellulosilyticus	3.82206	0.0	0.0	0.0	0.0	0.0
Bacteroides_massiliensis	10.61295	0.0	0.0	0.0	0.0	0.0
Bacteroides_ovatus	4.08051	0.0	0.0	0.0	0.0	0.0
Bacteroides_stercoris	12.82765	0.0	0.0	0.0	0.0	0.0
Parabacteroides_distasonis	3.7393	0.0	0.0	0.0	0.0	0.0
Prevotella_histicola	0.0	0.0	21.38887	0.0	0.0	0.0
Prevotella_melaninogenica	0.0	0.0	2.68069	0.0	0.0	0.0
Capnocytophaga_unclassified	0.0	0.0	0.0	0.0	9.67439	0.0
Gemella_haemolysans	0.0	0.0	0.0	9.83861	0.0	0.0
Dolosigranulum_pigrum	0.0	2.74416	0.0	0.0	0.0	0.0
Lactobacillus_crispatus	0.0	0.0	0.0	0.0	0.0	78.96418
Lactobacillus_iners	0.0	0.0	0.0	0.0	0.0	16.87791
Lactobacillus_jensenii	0.0	0.0	0.0	0.0	0.0	4.15791
Streptococcus_mitis_oralis_pneumoniae	0.0	0.0	0.0	81.75836	0.0	0.0
Streptococcus_parasanguinis	0.0	0.0	20.94972	0.0	0.0	0.0
Streptococcus_salivarius	0.0	0.0	3.09978	0.0	0.0	0.0
Eubacterium_rectale	16.00116	0.0	0.0	0.0	0.0	0.0
Eubacterium_siraeum	6.08711	0.0	0.0	0.0	0.0	0.0
Roseburia_unclassified	5.08956	0.0	0.0	0.0	0.0	0.0
Subdoligranulum_unclassified	37.7397	0.0	0.0	0.0	0.0	0.0
Veillonella_atypica	0.0	0.0	16.1226	0.0	0.0	0.0
Veillonella_unclassified	0.0	0.0	34.90733	0.0	0.0	0.0
Haemophilus_haemolyticus	0.0	0.0	0.0	5.76768	0.0	0.0
Haemophilus_influenzae	0.0	0.0	0.0	2.63535	0.0	0.0
Propionibacterium_phage_PAS50	0.0	83.17825	0.0	0.0	0.0	0.0
