# Gene Family	demo_Abundance-RPKs
UNMAPPED	4676.0000000000
UniRef90_unknown	1641.2181881965
UniRef90_unknown|g__Bacteroides.s__Bacteroides_dorei	898.7224083120
UniRef90_unknown|g__Bacteroides.s__Bacteroides_vulgatus	742.4957798844
UniRef90_R6HHA8: NO_NAME	333.3333333333
UniRef90_R6HHA8: NO_NAME|g__Bacteroides.s__Bacteroides_dorei	333.3333333333
UniRef90_G1UMF5: NO_NAME	66.6666666667
UniRef90_G1UMF5: NO_NAME|g__Bacteroides.s__Bacteroides_vulgatus	66.6666666667
UniRef90_R7P3A5: NO_NAME	55.5555555556
UniRef90_R7P3A5: NO_NAME|g__Bacteroides.s__Bacteroides_dorei	55.5555555556
UniRef90_R6HKK8: NO_NAME	52.6315789474
UniRef90_R6HKK8: NO_NAME|g__Bacteroides.s__Bacteroides_dorei	52.6315789474
UniRef90_D1K046: NO_NAME	47.6190476190
UniRef90_D1K046: NO_NAME|g__Bacteroides.s__Bacteroides_dorei	47.6190476190
UniRef90_D4VBJ0: NO_NAME	47.6190476190
UniRef90_D4VBJ0: NO_NAME|g__Bacteroides.s__Bacteroides_vulgatus	47.6190476190
UniRef90_R6HVY6: NO_NAME	47.6190476190
UniRef90_R6HVY6: NO_NAME|g__Bacteroides.s__Bacteroides_dorei	47.6190476190
UniRef90_R6I0Z3: NO_NAME	47.6190476190
UniRef90_R6I0Z3: NO_NAME|g__Bacteroides.s__Bacteroides_vulgatus	47.6190476190
UniRef90_C3R7K2: Polysaccharide deacetylase	45.7650273224
UniRef90_C3R7K2: Polysaccharide deacetylase|g__Bacteroides.s__Bacteroides_dorei	45.7650273224
UniRef90_R9HIC6: NO_NAME	41.6666666667
UniRef90_R9HIC6: NO_NAME|g__Bacteroides.s__Bacteroides_vulgatus	41.6666666667
UniRef90_I9GA88: NO_NAME	36.3447559709
UniRef90_I9GA88: NO_NAME|g__Bacteroides.s__Bacteroides_vulgatus	18.6915887850
UniRef90_I9GA88: NO_NAME|g__Bacteroides.s__Bacteroides_dorei	17.6531671859
UniRef90_R7NVD8: NO_NAME	35.6517935258
UniRef90_R7NVD8: NO_NAME|g__Bacteroides.s__Bacteroides_vulgatus	35.6517935258
UniRef90_A6KZ97: NO_NAME	33.3333333333
UniRef90_A6KZ97: NO_NAME|g__Bacteroides.s__Bacteroides_dorei	33.3333333333
UniRef90_B6VTL0: NO_NAME	33.3333333333
UniRef90_B6VTL0: NO_NAME|g__Bacteroides.s__Bacteroides_dorei	33.3333333333
UniRef90_D4V7T1: NO_NAME	32.2580645161
UniRef90_D4V7T1: NO_NAME|g__Bacteroides.s__Bacteroides_vulgatus	32.2580645161
UniRef90_B6VZR2: NO_NAME	30.3030303030
UniRef90_B6VZR2: NO_NAME|g__Bacteroides.s__Bacteroides_dorei	30.3030303030
UniRef90_C3Q4T2: NO_NAME	30.3030303030
UniRef90_C3Q4T2: NO_NAME|g__Bacteroides.s__Bacteroides_dorei	30.3030303030
UniRef90_D1K8B6: NO_NAME	30.3030303030
UniRef90_D1K8B6: NO_NAME|g__Bacteroides.s__Bacteroides_dorei	30.3030303030
UniRef90_R6HMF6: NO_NAME	30.3030303030
UniRef90_R6HMF6: NO_NAME|g__Bacteroides.s__Bacteroides_dorei	30.3030303030
UniRef90_A7AE97: NO_NAME	29.4117647059
UniRef90_A7AE97: NO_NAME|g__Bacteroides.s__Bacteroides_dorei	29.4117647059
UniRef90_B6VVE6: NO_NAME	28.9855072464
UniRef90_B6VVE6: NO_NAME|g__Bacteroides.s__Bacteroides_dorei	28.9855072464
UniRef90_D1K9F5: NO_NAME	27.9733959311
UniRef90_D1K9F5: NO_NAME|g__Bacteroides.s__Bacteroides_dorei	27.9733959311
UniRef90_D1JZ48: NO_NAME	27.7777777778
UniRef90_D1JZ48: NO_NAME|g__Bacteroides.s__Bacteroides_dorei	27.7777777778
UniRef90_D4VC99: NO_NAME	27.7777777778
UniRef90_D4VC99: NO_NAME|g__Bacteroides.s__Bacteroides_vulgatus	27.7777777778
UniRef90_A6KXM7: NO_NAME	26.1437908497
UniRef90_A6KXM7: NO_NAME|g__Bacteroides.s__Bacteroides_vulgatus	26.1437908497
UniRef90_B6W1W2: NO_NAME	25.6410256410
UniRef90_B6W1W2: NO_NAME|g__Bacteroides.s__Bacteroides_dorei	25.6410256410
UniRef90_A6KXY0: NO_NAME	23.8095238095
UniRef90_A6KXY0: NO_NAME|g__Bacteroides.s__Bacteroides_vulgatus	23.8095238095
UniRef90_D4V534: NO_NAME	23.8095238095
UniRef90_D4V534: NO_NAME|g__Bacteroides.s__Bacteroides_vulgatus	23.8095238095
UniRef90_I0PXX6: NO_NAME	23.8095238095
UniRef90_I0PXX6: NO_NAME|g__Bacteroides.s__Bacteroides_dorei	23.8095238095
UniRef90_G1ULF8: NO_NAME	23.2558139535
UniRef90_G1ULF8: NO_NAME|g__Bacteroides.s__Bacteroides_dorei	23.2558139535
UniRef90_D1JXM3: NO_NAME	22.9885057471
UniRef90_D1JXM3: NO_NAME|g__Bacteroides.s__Bacteroides_dorei	22.9885057471
UniRef90_D4V9Q7: NO_NAME	22.7272727273
UniRef90_D4V9Q7: NO_NAME|g__Bacteroides.s__Bacteroides_vulgatus	22.7272727273
UniRef90_I9QQ57: NO_NAME	22.4466891134
UniRef90_I9QQ57: NO_NAME|g__Bacteroides.s__Bacteroides_dorei	12.3456790123
UniRef90_I9QQ57: NO_NAME|g__Bacteroides.s__Bacteroides_vulgatus	10.1010101010
UniRef90_D1JXH6: NO_NAME	22.2222222222
UniRef90_D1JXH6: NO_NAME|g__Bacteroides.s__Bacteroides_dorei	22.2222222222
UniRef90_D1JXW7: NO_NAME	22.2222222222
UniRef90_D1JXW7: NO_NAME|g__Bacteroides.s__Bacteroides_dorei	22.2222222222
UniRef90_D1K0H7: NO_NAME	22.2222222222
UniRef90_D1K0H7: NO_NAME|g__Bacteroides.s__Bacteroides_dorei	22.2222222222
UniRef90_I8VUS4: NO_NAME	22.2222222222
UniRef90_I8VUS4: NO_NAME|g__Bacteroides.s__Bacteroides_dorei	22.2222222222
UniRef90_R6HFI1: NO_NAME	22.2222222222
UniRef90_R6HFI1: NO_NAME|g__Bacteroides.s__Bacteroides_dorei	22.2222222222
UniRef90_R6HVJ4: NO_NAME	22.2222222222
UniRef90_R6HVJ4: NO_NAME|g__Bacteroides.s__Bacteroides_vulgatus	22.2222222222
UniRef90_E5UQ50: NO_NAME	20.9370816600
UniRef90_E5UQ50: NO_NAME|g__Bacteroides.s__Bacteroides_dorei	12.0481927711
UniRef90_E5UQ50: NO_NAME|g__Bacteroides.s__Bacteroides_vulgatus	8.8888888889
UniRef90_B6VUH9: NO_NAME	20.8333333333
UniRef90_B6VUH9: NO_NAME|g__Bacteroides.s__Bacteroides_dorei	20.8333333333
UniRef90_R6IEY4: NO_NAME	20.8333333333
UniRef90_R6IEY4: NO_NAME|g__Bacteroides.s__Bacteroides_dorei	20.8333333333
UniRef90_R7P0K6: NO_NAME	20.8333333333
UniRef90_R7P0K6: NO_NAME|g__Bacteroides.s__Bacteroides_vulgatus	20.8333333333
UniRef90_R9HL23: NO_NAME	20.8333333333
UniRef90_R9HL23: NO_NAME|g__Bacteroides.s__Bacteroides_vulgatus	20.8333333333
UniRef90_R9HXZ8: NO_NAME	20.1149425287
UniRef90_R9HXZ8: NO_NAME|g__Bacteroides.s__Bacteroides_vulgatus	20.1149425287
UniRef90_I9QT32: NO_NAME	19.6078431373
UniRef90_I9QT32: NO_NAME|g__Bacteroides.s__Bacteroides_dorei	19.6078431373
UniRef90_R9HD97: NO_NAME	19.6078431373
UniRef90_R9HD97: NO_NAME|g__Bacteroides.s__Bacteroides_vulgatus	19.6078431373
UniRef90_A6KXD7: NO_NAME	19.3236714976
UniRef90_A6KXD7: NO_NAME|g__Bacteroides.s__Bacteroides_dorei	9.6618357488
UniRef90_A6KXD7: NO_NAME|g__Bacteroides.s__Bacteroides_vulgatus	9.6618357488
UniRef90_B7AMT3: NO_NAME	19.0476190476
UniRef90_B7AMT3: NO_NAME|g__Bacteroides.s__Bacteroides_vulgatus	19.0476190476
UniRef90_U5C7R6: NO_NAME	19.0476190476
UniRef90_U5C7R6: NO_NAME|g__Bacteroides.s__Bacteroides_vulgatus	19.0476190476
UniRef90_Q650C6: NO_NAME	18.9393939394
UniRef90_Q650C6: NO_NAME|g__Bacteroides.s__Bacteroides_vulgatus	15.1515151515
UniRef90_Q650C6: NO_NAME|g__Bacteroides.s__Bacteroides_dorei	3.7878787879
UniRef90_R7NUD1: NO_NAME	18.8640132670
UniRef90_R7NUD1: NO_NAME|g__Bacteroides.s__Bacteroides_vulgatus	18.8640132670
UniRef90_A6L756: NO_NAME	18.5185185185
UniRef90_A6L756: NO_NAME|g__Bacteroides.s__Bacteroides_vulgatus	18.5185185185
UniRef90_B6VYA5: NO_NAME	18.5185185185
UniRef90_B6VYA5: NO_NAME|g__Bacteroides.s__Bacteroides_dorei	18.5185185185
UniRef90_B6VS18: NO_NAME	17.5438596491
UniRef90_B6VS18: NO_NAME|g__Bacteroides.s__Bacteroides_dorei	17.5438596491
UniRef90_C3Q3W9: NO_NAME	17.5438596491
UniRef90_C3Q3W9: NO_NAME|g__Bacteroides.s__Bacteroides_dorei	17.5438596491
UniRef90_R6HJR2: NO_NAME	17.5438596491
UniRef90_R6HJR2: NO_NAME|g__Bacteroides.s__Bacteroides_dorei	17.5438596491
UniRef90_R9H8N9: NO_NAME	17.5438596491
UniRef90_R9H8N9: NO_NAME|g__Bacteroides.s__Bacteroides_vulgatus	17.5438596491
UniRef90_R9HG33: NO_NAME	17.5438596491
UniRef90_R9HG33: NO_NAME|g__Bacteroides.s__Bacteroides_vulgatus	17.5438596491
UniRef90_K6B0B3: NO_NAME	16.9637551990
UniRef90_K6B0B3: NO_NAME|g__Bacteroides.s__Bacteroides_dorei	10.9031491384
UniRef90_K6B0B3: NO_NAME|g__Bacteroides.s__Bacteroides_vulgatus	6.0606060606
UniRef90_R5JPA6: NO_NAME	16.8855534709
UniRef90_R5JPA6: NO_NAME|g__Bacteroides.s__Bacteroides_vulgatus	16.8855534709
UniRef90_A6KZR7: Fumarate reductase iron-sulfur cluster protein subunit	16.7427701674
UniRef90_A6KZR7: Fumarate reductase iron-sulfur cluster protein subunit|g__Bacteroides.s__Bacteroides_dorei	9.1324200913
