# Gene Family	demo_Abundance-RPKs
UNMAPPED	3836.0000000000
UniRef90_unknown	1641.2181881965
UniRef90_unknown|g__Bacteroides.s__Bacteroides_dorei	898.7224083120
UniRef90_unknown|g__Bacteroides.s__Bacteroides_vulgatus	742.4957798844
UniRef90_R6HHA8	333.3333333333
UniRef90_R6HHA8|g__Bacteroides.s__Bacteroides_dorei	333.3333333333
UniRef90_G1UMF5	66.6666666667
UniRef90_G1UMF5|g__Bacteroides.s__Bacteroides_vulgatus	66.6666666667
UniRef90_R7P3A5	55.5555555556
UniRef90_R7P3A5|g__Bacteroides.s__Bacteroides_dorei	55.5555555556
UniRef90_R6HKK8	52.6315789474
UniRef90_R6HKK8|g__Bacteroides.s__Bacteroides_dorei	52.6315789474
UniRef90_D1K046	47.6190476190
UniRef90_D1K046|g__Bacteroides.s__Bacteroides_dorei	47.6190476190
UniRef90_D4VBJ0	47.6190476190
UniRef90_D4VBJ0|g__Bacteroides.s__Bacteroides_vulgatus	47.6190476190
UniRef90_R6HVY6	47.6190476190
UniRef90_R6HVY6|g__Bacteroides.s__Bacteroides_dorei	47.6190476190
UniRef90_R6I0Z3	47.6190476190
UniRef90_R6I0Z3|g__Bacteroides.s__Bacteroides_vulgatus	47.6190476190
UniRef90_C3R7K2	45.7650273224
UniRef90_C3R7K2|g__Bacteroides.s__Bacteroides_dorei	45.7650273224
UniRef90_R9HIC6	41.6666666667
UniRef90_R9HIC6|g__Bacteroides.s__Bacteroides_vulgatus	41.6666666667
UniRef90_I9GA88	36.3447559709
UniRef90_I9GA88|g__Bacteroides.s__Bacteroides_vulgatus	18.6915887850
UniRef90_I9GA88|g__Bacteroides.s__Bacteroides_dorei	17.6531671859
UniRef90_R7NVD8	35.6517935258
UniRef90_R7NVD8|g__Bacteroides.s__Bacteroides_vulgatus	35.6517935258
UniRef90_A6KZ97	33.3333333333
UniRef90_A6KZ97|g__Bacteroides.s__Bacteroides_dorei	33.3333333333
UniRef90_B6VTL0	33.3333333333
UniRef90_B6VTL0|g__Bacteroides.s__Bacteroides_dorei	33.3333333333
UniRef90_D4V7T1	32.2580645161
UniRef90_D4V7T1|g__Bacteroides.s__Bacteroides_vulgatus	32.2580645161
UniRef90_B6VZR2	30.3030303030
UniRef90_B6VZR2|g__Bacteroides.s__Bacteroides_dorei	30.3030303030
UniRef90_C3Q4T2	30.3030303030
UniRef90_C3Q4T2|g__Bacteroides.s__Bacteroides_dorei	30.3030303030
