#FASTA	SRS056210.fasta	SRS011132.fasta	SRS019597.fasta	SRS015996.fasta	SRS016033.fasta
#Niche	X	X	X	Y	Y
#Genes	SRS056210	SRS011132	SRS019597	SRS015996	SRS016033
SRS056210.50|UniRef90_unknown	0.0670926517572	0.0	0.0	0.0	0.0
SRS056210.16|UniRef90_unknown	0.0657276995305	0.0	0.0	0.0	0.0
SRS056210.87|UniRef90_unknown	0.104700854701	0.0	0.0	0.0	0.0
SRS056210.41|UniRef90_unknown	0.0942028985507	0.0	0.0	0.0	0.0
SRS056210.9|UniRef90_unknown	0.0594059405941	0.0	0.0	0.0	0.0
SRS056210.33|UniRef90_unknown	0.0553359683794	0.0	0.0	0.0	0.0
SRS056210.76|UniRef90_unknown	0.0743405275779	0.0	0.0	0.0	0.0
SRS056210.34|UniRef90_unknown	0.0944881889764	0.0	0.0	0.0	0.0
SRS056210.49|UniRef90_unknown	0.0900321543408	0.0	0.0	0.0	0.0
SRS056210.44|UniRef90_unknown	0.0819112627986	0.0	0.0	0.0	0.0
SRS056210.84|UniRef90_unknown	0.0729613733906	0.0	0.0	0.0	0.0
SRS056210.31|UniRef90_unknown	0.152610441767	0.0	0.0	0.0	0.0
SRS056210.47|UniRef90_unknown	0.0548387096774	0.0	0.0	0.0	0.0
SRS056210.82|UniRef90_unknown	0.054347826087	0.0	0.0	0.0	0.0
SRS056210.88|UniRef90_unknown	0.0659574468085	0.0	0.0	0.0	0.0
SRS056210.13|UniRef90_unknown	0.0568720379147	0.0	0.0	0.0	0.0
SRS056210.37|UniRef90_unknown	0.0884615384615	0.0	0.0	0.0	0.0
SRS056210.17|UniRef90_unknown	0.0867579908676	0.0	0.0	0.0	0.0
SRS056210.81|UniRef90_unknown	0.0758928571429	0.0	0.0	0.0	0.0
SRS056210.20|UniRef90_unknown	0.0557939914163	0.0	0.0	0.0	0.0
SRS056210.65|UniRef90_unknown	0.0846560846561	0.0	0.0	0.0	0.0
SRS056210.27|UniRef90_unknown	0.0905349794239	0.0	0.0	0.0	0.0
SRS056210.74|UniRef90_unknown	0.0873786407767	0.0	0.0	0.0	0.0
SRS056210.59|UniRef90_unknown	0.0641711229947	0.0	0.0	0.0	0.0
SRS056210.22|UniRef90_unknown	0.0555555555556	0.0	0.0	0.0	0.0
SRS056210.35|UniRef90_unknown	0.0778210116732	0.0	0.0	0.0	0.0
SRS056210.48|UniRef90_unknown	0.0900321543408	0.0	0.0	0.0	0.0
SRS056210.30|UniRef90_unknown	0.0931174089069	0.0	0.0	0.0	0.0
SRS056210.3|UniRef90_unknown	0.0408921933086	0.0	0.0	0.0	0.0
SRS056210.52|UniRef90_unknown	0.113095238095	0.0	0.0	0.0	0.0
SRS056210.77|UniRef90_unknown	0.0743405275779	0.0	0.0	0.0	0.0
SRS056210.4|UniRef90_unknown	0.0798479087452	0.0	0.0	0.0	0.0
SRS056210.10|UniRef90_unknown	0.0637254901961	0.0	0.0	0.0	0.0
SRS056210.28|UniRef90_unknown	0.0781893004115	0.0	0.0	0.0	0.0
SRS056210.67|UniRef90_unknown	0.088772845953	0.0	0.0	0.0	0.0
SRS056210.1|UniRef90_unknown	3.23220973783	0.0	0.0	0.0	0.0
SRS056210.96|UniRef90_unknown	0.0686390532544	0.0	0.0	0.0	0.0
SRS056210.18|UniRef90_unknown	0.0810810810811	0.0	0.0	0.0	0.0
SRS056210.69|UniRef90_unknown	0.0690537084399	0.0	0.0	0.0	0.0
SRS056210.26|UniRef90_unknown	0.0954356846473	0.0	0.0	0.0	0.0
SRS056210.63|UniRef90_unknown	0.0846560846561	0.0	0.0	0.0	0.0
SRS056210.56|UniRef90_unknown	0.0728291316527	0.0	0.0	0.0	0.0
SRS056210.83|UniRef90_unknown	0.0948275862069	0.0	0.0	0.0	0.0
SRS056210.5|UniRef90_unknown	0.0798479087452	0.0	0.0	0.0	0.0
SRS056210.55|UniRef90_unknown	0.0736543909348	0.0	0.0	0.0	0.0
SRS056210.45|UniRef90_unknown	0.0684039087948	0.0	0.0	0.0	0.0
SRS056210.64|UniRef90_unknown	0.0846560846561	0.0	0.0	0.0	0.0
SRS056210.90|UniRef90_unknown	0.062980030722	0.0	0.0	0.0	0.0
SRS056210.39|UniRef90_unknown	0.0950570342205	0.0	0.0	0.0	0.0
SRS056210.92|UniRef90_unknown	0.0912981455064	0.0	0.0	0.0	0.0
