#Centroids	beta_prevalence	mean_abundance	alpha_prevalence_Y	alpha_prevalence_X	ppanini_score_X	ppanini_score_Y
SRS015996.18764	0.416666666667	3492.53406927	0.5	0.333333333333	17.2144861286	14.3290517257
SRS056210.78	0.833333333333	18143.9509516	1.0	0.666666666667	18.6034577925	18.6008874532
SRS015996.20239	0.416666666667	2278.05205753	0.5	0.333333333333	16.307876341	13.6953017069
SRS015996.18564	0.416666666667	2828.76039691	0.5	0.333333333333	16.6690467202	13.9491196708
UniRef90_L0WH87	0.166666666667	9114.51317462	0.0	0.333333333333	18.062820278	0.979433811612
SRS016033.36	0.416666666667	28416.7472285	0.5	0.333333333333	18.259406123	15.045745254
UniRef90_L0WH82	0.166666666667	9114.51317462	0.0	0.333333333333	18.062820278	0.979433811612
SRS015996.10884	0.416666666667	2744.69460043	0.5	0.333333333333	16.6268144807	13.9195330229
SRS015996.19338	0.5	9269.21472161	1.0	0.0	13.8016662029	18.4502888911
SRS019597.2114	0.166666666667	17044.0773047	0.0	0.333333333333	18.1899048054	0.979804997481
SRS015996.8903	0.416666666667	4404.82722061	0.5	0.333333333333	17.6574069441	14.6346169392
UniRef90_D5VB09	0.166666666667	6520.7163331	0.0	0.333333333333	17.7991537397	0.978647722856
UniRef90_D5V8I9	0.166666666667	6128.89164685	0.0	0.333333333333	17.7688456702	0.978555950526
SRS015996.17288	0.666666666667	16876.5872274	1.0	0.333333333333	18.1849331038	18.5697954458
SRS019597.2024	0.166666666667	14335.4950299	0.0	0.333333333333	18.1501037992	0.979689276391
UniRef90_Q49091	0.166666666667	8962.40313529	0.0	0.333333333333	18.0403272554	0.979367599312
SRS015996.15237	0.416666666667	3791.55239712	0.5	0.333333333333	17.3843646356	14.4465597265
UniRef90_J8XLM2	0.166666666667	6565.70554608	0.0	0.333333333333	17.8092484239	0.978678223857
SRS019597.2160	0.166666666667	18200.4969232	0.0	0.333333333333	18.2197144978	0.979891355581
UniRef90_D5V8F0	0.166666666667	8962.40313529	0.0	0.333333333333	18.0403272554	0.979367599312
SRS011132.41	0.416666666667	3119.94086139	0.5	0.333333333333	16.9523341895	14.1469517743
SRS011132.42	0.416666666667	3788.49961741	0.5	0.333333333333	17.3715342667	14.4376982816
SRS011132.43	0.416666666667	3992.06718735	0.5	0.333333333333	17.5480292503	14.5594029865
SRS011132.44	0.416666666667	4213.84869776	0.5	0.333333333333	17.5913275158	14.5891962769
SRS011132.45	0.416666666667	3770.28567694	0.5	0.333333333333	17.3664003244	14.4341518447
SRS011132.46	0.333333333333	2990.34560929	0.0	0.666666666667	17.1198151577	0.975424510192
SRS011132.47	0.416666666667	3992.06718735	0.5	0.333333333333	17.5480292503	14.5594029865
SRS011132.48	0.416666666667	3310.80532284	0.5	0.333333333333	17.0954199858	14.2464595613
UniRef90_D5VA49	0.166666666667	7264.03687388	0.0	0.333333333333	17.8974065941	0.978943210691
